,W10_b,W11_4,W11_1,W12_a,W13,W14_2,W7,W6_a,W5_a,G1_1,W2_1_b,W5_b,W6_b,W3_1_b,G3,G1_3,G1_2,W1_1,W2_1_a,W3_1_a,W1_2_b,W2_2_a,W2_2_b,W2_2_c,W3_2_a,W3_2_b,W3_2_c,W4_2_a,W4_2_b,W10_a,W9,W14_1,W15,G4_a,G2,W4_1_a,W12_b,G4_b,W11_3,W11_2,W1_2_a,W4_1_b,W8
2018-01-01 00:00:00,24600.000,0.000,0.000,0.000,0.000,0.000,0.000,16466.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43716.667,0.000,0.000,0.000,0.000,0.000,0.000
2018-01-01 01:00:00,41000.000,0.000,0.000,0.000,0.000,0.000,0.000,52000.000,0.000,64166.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,23766.667,53883.333,0.000,0.000,0.000,0.000,0.000,48800.000,0.000,0.000,0.000,0.000,0.000,0.000
2018-01-01 02:00:00,27333.333,0.000,0.000,0.000,0.000,0.000,0.000,23400.000,0.000,29333.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,62000.000,38633.333,0.000,0.000,0.000,0.000,0.000,0.000,88400.000,0.000,0.000,0.000,0.000,0.000
2018-01-01 03:00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16466.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,6200.000,0.000,0.000,6666.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2018-01-01 04:00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52000.000,50266.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86666.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2018-01-01 05:00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23400.000,41566.667,0.000,0.000,0.000,0.000,0.000,37000.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2018-01-01 06:00:00,0.000,14250.000,0.000,30500.000,23750.000,0.000,1150.000,0.000,22733.333,0.000,10816.667,0.000,0.000,0.000,0.000,0.000,0.000,90533.333,52116.667,60000.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,0.000,0.000,46200.000,6666.667,0.000,0.000,92700.000,0.000,0.000,9000.000,63750.000,0.000,44550.000,81000.000
2018-01-01 07:00:00,0.000,45000.000,50000.000,61000.000,57000.000,34000.000,69000.000,0.000,62000.000,89833.333,59000.000,0.000,0.000,0.000,0.000,0.000,0.000,77600.000,59000.000,48000.000,0.000,0.000,0.000,0.000,15000.000,0.000,0.000,0.000,0.000,0.000,0.000,63000.000,100000.000,0.000,1316.667,56650.000,0.000,0.000,45000.000,75000.000,0.000,81000.000,72000.000
2018-01-01 08:00:00,0.000,45000.000,55000.000,37616.667,46550.000,51000.000,36800.000,0.000,55800.000,56833.333,45233.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38350.000,0.000,0.000,0.000,0.000,0.000,5250.000,0.000,0.000,0.000,0.000,25833.333,0.000,29400.000,10000.000,0.000,79000.000,0.000,21350.000,0.000,45000.000,32500.000,0.000,10800.000,0.000
2018-01-01 09:00:00,0.000,9000.000,0.000,0.000,0.000,19550.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62000.000,13216.667,0.000,0.000,0.000,30283.333,0.000,61000.000,0.000,13500.000,0.000,0.000,0.000,0.000
