,W10_b,W11_4,W11_1,W12_a,W13,W14_2,W7,W6_a,W5_a,G1_1,W2_1_b,W5_b,W6_b,W3_1_b,G3,G1_3,G1_2,W1_1,W2_1_a,W3_1_a,W1_2_b,W2_2_a,W2_2_b,W2_2_c,W3_2_a,W3_2_b,W3_2_c,W4_2_a,W4_2_b,W10_a,W9,W14_1,W15,G4_a,G2,W4_1_a,W12_b,G4_b,W11_3,W11_2,W1_2_a,W4_1_b,W8
2018-01-01 18:00:00,53703.770,62912.589,90742.796,83775.971,78734.535,69333.100,96264.876,71412.144,102328.707,162575.287,80048.312,15155.551,72224.262,79225.277,105489.848,87594.043,96873.351,130626.432,80822.797,81780.230,7982.190,8119.738,12768.992,8089.483,12839.181,8249.520,8283.601,12853.308,3469.348,85877.089,84043.127,86666.374,137321.378,168768.996,98872.110,130435.786,83942.177,103013.572,72760.085,100934.412,12521.162,101173.330,144974.091
2018-01-01 19:00:00,50597.957,59291.575,85447.562,78922.598,74180.414,65346.140,91006.342,67296.147,96304.854,162507.474,75422.614,14319.986,68050.549,74649.674,105467.130,87268.979,96903.125,122985.143,76156.459,77045.673,9394.205,9550.101,15191.903,9512.761,15281.418,9709.146,9751.622,15295.759,3896.033,80883.426,79175.234,81636.842,129141.830,169336.854,98824.106,122778.541,79074.468,102905.814,68556.600,95042.633,14878.738,95161.855,136495.476
2018-01-01 20:00:00,46123.517,54073.222,77814.780,71928.276,67620.515,59603.200,83346.931,61366.202,87621.592,162528.101,68762.323,13122.291,62039.533,68060.280,105490.028,87114.972,96995.300,111965.753,69431.258,70226.028,11060.370,11238.381,18069.702,11193.776,18181.212,11435.596,11484.084,18202.382,4312.126,73690.804,72160.327,74388.139,117337.370,169980.282,98827.642,111736.020,72060.072,102860.811,62499.907,86550.392,17681.704,86499.845,124282.152
2018-01-01 21:00:00,45402.781,53228.242,76553.474,70784.613,66547.704,58674.306,82118.976,60403.569,86168.297,165821.750,67683.213,12919.097,61060.328,66992.921,107613.031,88690.488,99198.588,110148.888,68341.386,69117.187,10843.731,11019.248,17728.262,10975.177,17837.291,11211.723,11258.663,17857.696,4291.643,72506.032,71013.466,73196.986,115328.156,174926.324,100789.734,109906.935,70911.088,104819.250,61514.029,85143.956,17349.414,85067.173,122250.000
2018-01-01 22:00:00,44708.088,52418.098,75364.522,69696.553,65527.385,57781.813,80869.778,59481.563,84814.835,165850.864,66647.612,12725.718,60125.468,65968.278,107645.386,88566.325,99272.070,108430.857,67295.118,68055.920,10673.131,10846.021,17458.226,10802.360,17565.931,11035.286,11081.654,17585.535,4219.923,71386.285,69922.189,72069.114,113483.699,175455.197,100799.555,108184.724,69819.327,104784.928,60572.903,83820.925,17085.332,83714.036,120339.415
2018-01-01 23:00:00,36229.981,42551.365,61146.998,56517.944,53123.721,46928.717,65895.888,48272.066,68726.118,164558.828,54012.369,10383.803,48783.890,53458.752,106830.872,87761.324,98497.149,87869.299,54534.192,55159.243,7525.052,7655.253,12216.184,7625.124,12288.531,7784.995,7815.375,12304.658,3083.729,57894.876,56720.791,58467.849,91964.777,174252.597,100020.352,87652.499,56634.351,103948.639,49141.951,67981.720,11972.849,67680.686,97488.146
2018-01-02 00:00:00,37423.958,43807.056,63290.988,58319.808,54764.291,48279.295,66307.304,49725.560,71408.051,164374.582,55725.744,10246.050,50286.204,55149.096,106718.079,90231.118,98443.061,91149.312,56256.481,56947.695,7645.146,7758.549,12685.620,7722.507,12773.812,7905.112,7944.929,12779.696,2816.623,59803.777,58495.388,60391.018,95960.588,174493.728,99900.549,91055.725,58430.005,103792.364,50662.617,70392.846,12379.513,70879.215,100962.111
2018-01-02 01:00:00,41819.470,48879.188,70584.961,65147.593,61212.203,53849.921,73490.638,55483.015,79710.400,163355.422,62280.688,11210.808,56135.320,61634.838,106077.385,92798.465,97844.210,101830.154,62874.812,63632.982,8686.201,8811.267,14448.925,8771.115,14555.337,8982.244,9030.251,14560.845,3177.209,66786.270,65347.576,67406.270,106895.982,173654.134,99283.280,101669.039,65275.318,103120.800,56566.266,78497.529,14093.932,78934.346,112576.613
2018-01-02 02:00:00,40433.032,47234.237,68305.930,62970.536,59155.541,52038.235,71418.298,53613.321,77165.533,162584.599,60194.073,11007.227,54241.130,59568.005,105587.549,91897.909,97418.193,98482.627,60767.270,61516.656,8412.361,8534.056,13994.648,8495.164,14097.457,8699.125,8745.416,14102.649,3078.821,64578.104,63163.463,65168.161,103797.951,173129.916,98812.589,98408.814,63100.486,102608.415,54658.019,75976.834,13651.748,76684.625,109071.916
2018-01-02 03:00:00,40459.135,47255.281,68329.037,62995.673,59179.867,52061.400,71739.422,53636.440,77186.949,167728.103,60227.530,11004.485,54263.678,59601.272,108874.022,94283.220,100799.785,98526.820,60801.079,61549.611,8481.884,8604.485,14120.163,8565.187,14223.677,8770.616,8817.249,14228.818,3101.513,64602.600,63188.913,65193.184,103815.814,180412.434,101870.559,98450.508,63124.986,105697.846,54680.790,76002.500,13774.211,76732.693,109109.957
