,W11_3,W11_2,W11_1,W11_4
2025-01-03 22:00:00,87908.703125,128323.2578125,112221.09375,77032.53125
2025-01-03 23:00:00,90257.8203125,129226.53125,113736.9375,79621.8203125
2025-01-04 00:00:00,92872.546875,130546.078125,115617.3203125,82420.8671875
2025-01-04 01:00:00,95703.5390625,132234.4375,117817.3359375,85387.7265625
2025-01-04 02:00:00,98356.546875,133878.65625,119935.9765625,88100.390625
2025-01-04 03:00:00,100812.3671875,135463.640625,121952.4453125,90560.2578125
2025-01-04 04:00:00,103190.5234375,137099.796875,123979.2421875,92886.96875
2025-01-04 05:00:00,105534.4140625,138833.359375,126054.6015625,95139.28125
2025-01-04 06:00:00,106867.84375,139670.40625,127201.1875,96342.265625
2025-01-04 07:00:00,106379.3984375,138757.90625,126572.6953125,95706.78125
2025-01-04 08:00:00,104694.96875,136682.859375,124766.5546875,93880.9609375
2025-01-04 09:00:00,102445.21875,134054.078125,122396.828125,91509.109375
2025-01-04 10:00:00,99717.5078125,130946.578125,119541.1796875,88686.3203125
2025-01-04 11:00:00,96993.2578125,127833.3984375,116674.5390625,85898.4453125
2025-01-04 12:00:00,94987.6953125,125438.3359375,114517.7578125,83855.3203125
2025-01-04 13:00:00,93235.140625,123306.2421875,112614.34375,82081.7734375
2025-01-04 14:00:00,91050.921875,120740.6328125,110272.625,79894.9609375
2025-01-04 15:00:00,88700.3203125,118030.8046875,107781.4609375,77565.1328125
2025-01-04 16:00:00,86920.1484375,115860.4765625,105824.7890625,75825.53125
2025-01-04 17:00:00,86072.796875,114639.5,104805.5703125,75027.3203125
2025-01-04 18:00:00,85884.1640625,114110.625,104462.4375,74885.1796875
2025-01-04 19:00:00,85952.171875,113878.1953125,104398.5390625,74992.03125
2025-01-04 20:00:00,86363.5546875,114033.5234375,104703.9375,75431.6953125
2025-01-04 21:00:00,87539.953125,115009.4296875,105808.0234375,76619.8125
2025-01-04 22:00:00,89563.6015625,116906.4609375,107806.2109375,78628.359375
2025-01-04 23:00:00,92107.7421875,119409.953125,110380.7265625,81123.671875
2025-01-05 00:00:00,94814.8984375,122164.875,113168.375,83745.1484375
2025-01-05 01:00:00,97509.0703125,125001.0234375,116011.9375,86318.5546875
2025-01-05 02:00:00,100239.578125,127952.4140625,118935.84375,88894.7734375
2025-01-05 03:00:00,102749.6953125,130776.0625,121705.5546875,91220.265625
2025-01-05 04:00:00,105087.796875,133506.1875,124361.4453125,93348.4375
2025-01-05 05:00:00,107495.0625,136374.296875,127119.421875,95522.9375
2025-01-05 06:00:00,109190.8515625,138598.953125,129208.0703125,96965.453125
2025-01-05 07:00:00,109242.6796875,139218.390625,129673.90625,96760.2109375
2025-01-05 08:00:00,108130.1015625,138676.140625,128970.5625,95406.375
2025-01-05 09:00:00,106688.2421875,137777.390625,127911.0625,93752.609375
2025-01-05 10:00:00,105212.5390625,136817.671875,126793.296875,92094.96875
2025-01-05 11:00:00,103771.6484375,135875.25,125698.5859375,90503.21875
2025-01-05 12:00:00,102885.546875,135431.859375,125107.7109375,89493.453125
2025-01-05 13:00:00,102140.453125,135110.421875,124639.859375,88642.4140625
2025-01-05 14:00:00,100532.953125,133902.0625,123287.2265625,86949.8828125
2025-01-05 15:00:00,98159.6640625,131879.03125,121129.8671875,84524.5078125
2025-01-05 16:00:00,95859.4375,129865.578125,118997.171875,82209.328125
2025-01-05 17:00:00,94397.2421875,128636.5390625,117661.703125,80761.375
2025-01-05 18:00:00,94016.9921875,128456.7109375,117382.609375,80409.328125
2025-01-05 19:00:00,94242.984375,128881.2421875,117708.015625,80665.140625
2025-01-05 20:00:00,94853.7421875,129695.3671875,118420.40625,81301.25
2025-01-05 21:00:00,96250.7890625,131311.671875,119929.71875,82711.9765625
2025-01-05 22:00:00,98031.7109375,133375.109375,121876.3984375,84485.8828125
2025-01-05 23:00:00,100029.0625,135659.109375,124032.46875,86454.859375
2025-01-06 00:00:00,102432.2734375,138401.6875,126631.15625,88805.6484375
2025-01-06 01:00:00,104756.09375,141104.6875,129178.1796875,91048.6640625
2025-01-06 02:00:00,107170.234375,143943.375,131847.015625,93357.0703125
2025-01-06 03:00:00,110048.3359375,147297.0625,135015.359375,96102.0625
2025-01-06 04:00:00,113279.5390625,151063.625,138578.5,99168.7265625
2025-01-06 05:00:00,116451.296875,154834.859375,142127.421875,102144.0078125
2025-01-06 06:00:00,118670.75,157707.9375,144760.53125,104140.3828125
2025-01-06 07:00:00,119000.1875,158715.65625,145518.828125,104239.0625
2025-01-06 08:00:00,117925.2421875,158300.78125,144857.1875,102949.453125
2025-01-06 09:00:00,116349.15625,157332.578125,143654.96875,101191.9609375
2025-01-06 10:00:00,114493.7578125,156029.84375,142132.921875,99187.078125
2025-01-06 11:00:00,112470.734375,154484.09375,140389.0,97053.9453125
2025-01-06 12:00:00,111039.3359375,153465.265625,139190.984375,95547.09375
2025-01-06 13:00:00,110311.59375,153103.5,138665.359375,94764.6171875
2025-01-06 14:00:00,108712.9609375,151832.8125,137240.171875,93131.296875
2025-01-06 15:00:00,106489.1796875,149865.609375,135139.078125,90908.0703125
2025-01-06 16:00:00,104889.984375,148462.125,133620.421875,89336.640625
2025-01-06 17:00:00,104622.7890625,148346.359375,133404.421875,89112.875
2025-01-06 18:00:00,105498.9609375,149364.9375,134327.59375,90029.0859375
2025-01-06 19:00:00,106832.5234375,150851.375,135717.5625,91392.9765625
2025-01-06 20:00:00,108753.3984375,152947.484375,137712.78125,93321.7734375
2025-01-06 21:00:00,111587.5625,155995.140625,140650.828125,96136.03125
2025-01-06 22:00:00,115031.3125,159716.234375,144245.046875,99518.296875
2025-01-06 23:00:00,118734.046875,163757.546875,148144.5,103123.046875
2025-01-07 00:00:00,122482.3046875,167917.875,152143.34375,106730.90625
2025-01-07 01:00:00,125722.703125,171635.65625,155681.765625,109794.78125
2025-01-07 02:00:00,128699.015625,175144.59375,158996.140625,112565.1640625
2025-01-07 03:00:00,131638.78125,178667.28125,162310.171875,115273.3828125
2025-01-07 04:00:00,134560.109375,182220.5625,165640.875,117939.203125
2025-01-07 05:00:00,137363.421875,185701.859375,168886.265625,120465.5078125
2025-01-07 06:00:00,139152.296875,188208.125,171144.71875,121960.8671875
2025-01-07 07:00:00,139093.84375,188872.40625,171558.4375,121612.40625
2025-01-07 08:00:00,137683.4375,188150.515625,170594.359375,119937.171875
2025-01-07 09:00:00,134555.59375,185636.390625,167858.28125,116590.4609375
2025-01-07 10:00:00,130054.4921875,181631.546875,163664.78125,111939.703125
2025-01-07 11:00:00,125718.015625,177647.296875,159532.953125,107504.703125
2025-01-07 12:00:00,122440.1328125,174604.53125,156377.265625,104209.65625
2025-01-07 13:00:00,119475.21875,171780.140625,153468.546875,101274.8515625
2025-01-07 14:00:00,116054.265625,168391.125,150028.0,97935.953125
2025-01-07 15:00:00,112458.75,164724.234375,146340.65625,94470.1171875
2025-01-07 16:00:00,109517.40625,161623.25,143247.109375,91699.078125
2025-01-07 17:00:00,107830.5078125,159707.0,141361.78125,90208.1640625
2025-01-07 18:00:00,107064.3828125,158671.65625,140372.421875,89647.140625
2025-01-07 19:00:00,106607.0859375,157920.640625,139678.0625,89396.0234375
2025-01-07 20:00:00,106625.453125,157629.828125,139452.015625,89616.859375
2025-01-07 21:00:00,107641.5078125,158342.609375,140231.703125,90820.1875
2025-01-07 22:00:00,109519.171875,159947.34375,141898.4375,92857.3828125
2025-01-07 23:00:00,111857.921875,162058.828125,144062.3125,95321.0390625
2025-01-08 00:00:00,114353.84375,164389.703125,146431.359375,97904.15625
2025-01-08 01:00:00,117085.546875,167004.234375,149072.53125,100686.1875
2025-01-08 02:00:00,120243.421875,170112.5,152190.75,103852.8125
2025-01-08 03:00:00,123486.9140625,173379.078125,155448.578125,107062.1328125
2025-01-08 04:00:00,126947.921875,176937.8125,158978.859375,110446.6484375
2025-01-08 05:00:00,130274.140625,180434.515625,162425.796875,113647.3515625
2025-01-08 06:00:00,132569.953125,182970.640625,164894.609375,115791.046875
2025-01-08 07:00:00,133267.8125,183944.359375,165791.078125,116321.640625
2025-01-08 08:00:00,132444.59375,183391.4375,165162.25,115338.5546875
2025-01-08 09:00:00,130046.7578125,181221.625,162928.15625,112808.4375
2025-01-08 10:00:00,125752.8203125,177068.28125,158735.015625,108433.765625
2025-01-08 11:00:00,120214.3671875,171542.84375,153205.953125,102886.359375
2025-01-08 12:00:00,114363.8125,165557.34375,147259.3125,97107.171875
2025-01-08 13:00:00,108105.390625,159021.5,140804.265625,90995.6015625
2025-01-08 14:00:00,102013.5078125,152526.265625,134442.390625,85129.515625
2025-01-08 15:00:00,97241.0625,147205.03125,129289.328125,80648.625
2025-01-08 16:00:00,93475.078125,142795.25,125078.0625,77215.9921875
2025-01-08 17:00:00,90876.609375,139484.390625,121987.2109375,74974.1015625
2025-01-08 18:00:00,89318.2890625,137175.953125,119912.484375,73779.390625
2025-01-08 19:00:00,88294.203125,135380.203125,118360.3984375,73116.0625
2025-01-08 20:00:00,87787.7109375,134096.4375,117324.1875,72961.234375
2025-01-08 21:00:00,88390.703125,133938.4375,117412.03125,73893.578125
2025-01-08 22:00:00,89819.046875,134660.953125,118369.5703125,75612.1015625
2025-01-08 23:00:00,91488.8046875,135668.640625,119600.2890625,77536.1328125
2025-01-09 00:00:00,93535.96875,137116.15625,121255.3359375,79795.203125
2025-01-09 01:00:00,95733.140625,138782.40625,123111.4140625,82160.4453125
2025-01-09 02:00:00,98043.7578125,140634.265625,125134.0390625,84592.265625
2025-01-09 03:00:00,100328.359375,142537.28125,127187.96875,86957.25
2025-01-09 04:00:00,102625.828125,144521.578125,129303.171875,89296.5234375
2025-01-09 05:00:00,105014.5859375,146670.125,131561.953125,91687.3125
2025-01-09 06:00:00,106692.40625,148175.53125,133158.25,93332.46875
2025-01-09 07:00:00,106780.921875,148128.640625,133191.5,93371.8359375
2025-01-09 08:00:00,105780.46875,146996.515625,132137.875,92324.7890625
2025-01-09 09:00:00,104209.6640625,145277.265625,130500.9375,90721.828125
2025-01-09 10:00:00,102485.0234375,143376.125,128688.7890625,88986.171875
2025-01-09 11:00:00,100682.34375,141375.25,126783.2421875,87191.65625
2025-01-09 12:00:00,98967.3515625,139426.859375,124935.8671875,85503.765625
2025-01-09 13:00:00,96957.625,137164.546875,122775.1875,83539.9296875
2025-01-09 14:00:00,94176.0625,134080.453125,119810.1875,80830.9375
2025-01-09 15:00:00,91727.4765625,131275.953125,117139.703125,78482.6875
2025-01-09 16:00:00,90198.625,129360.1171875,115366.3828125,77074.8984375
2025-01-09 17:00:00,89947.0,128717.34375,114866.953125,76947.578125
2025-01-09 18:00:00,90828.0625,129234.5,115519.6171875,77938.390625
2025-01-09 19:00:00,92149.875,130230.671875,116639.234375,79347.1484375
2025-01-09 20:00:00,94026.609375,131839.703125,118356.34375,81282.578125
2025-01-09 21:00:00,96632.0390625,134246.75,120851.28125,83911.4375
2025-01-09 22:00:00,99825.734375,137335.0625,124000.1328125,87082.2578125
2025-01-09 23:00:00,103226.765625,140714.828125,127415.546875,90418.453125
2025-01-10 00:00:00,106796.3046875,144358.390625,131066.234375,93874.3359375
2025-01-10 01:00:00,110392.4921875,148124.515625,134810.359375,97312.921875
2025-01-10 02:00:00,113990.046875,151986.40625,138621.109375,100711.0390625
2025-01-10 03:00:00,117505.046875,155857.515625,142412.328125,103987.578125
2025-01-10 04:00:00,120944.1171875,159739.609375,146186.765625,107149.265625
2025-01-10 05:00:00,124272.8984375,163594.828125,149907.1875,110169.8828125
2025-01-10 06:00:00,126675.421875,166597.109375,152750.140625,112239.3359375
2025-01-10 07:00:00,127384.2109375,167946.015625,153924.203125,112609.03125
2025-01-10 08:00:00,126920.1484375,168124.65625,153923.015625,111820.7265625
2025-01-10 09:00:00,125749.7421875,167572.859375,153193.953125,110354.40625
2025-01-10 10:00:00,124067.1328125,166459.453125,151912.453125,108418.734375
2025-01-10 11:00:00,122459.1796875,165371.34375,150667.15625,106593.5546875
2025-01-10 12:00:00,121234.609375,164615.75,149765.609375,105188.015625
2025-01-10 13:00:00,120145.25,163956.265625,148968.421875,103946.5078125
2025-01-10 14:00:00,118611.640625,162811.984375,147695.34375,102289.71875
2025-01-10 15:00:00,116756.8671875,161283.9375,146053.6875,100351.84375
2025-01-10 16:00:00,115218.546875,160024.546875,144692.796875,98758.390625
2025-01-10 17:00:00,114430.421875,159471.03125,144049.109375,97939.59375
2025-01-10 18:00:00,114259.8671875,159510.6875,144004.546875,97751.1640625
2025-01-10 19:00:00,114212.1875,159656.8125,144070.25,97693.40625
2025-01-10 20:00:00,114396.0546875,160025.3125,144360.4375,97871.40625
2025-01-10 21:00:00,115259.765625,161072.59375,145329.328125,98727.6015625
2025-01-10 22:00:00,116568.2734375,162582.0,146755.0,100016.8828125
2025-01-10 23:00:00,118094.5625,164327.828125,148411.484375,101511.8203125
2025-01-11 00:00:00,119934.390625,166416.015625,150402.0,103300.375
2025-01-11 01:00:00,121761.7109375,168523.859375,152402.65625,105059.359375
2025-01-11 02:00:00,123527.84375,170601.25,154363.703125,106740.2734375
2025-01-11 03:00:00,125228.71875,172642.09375,156279.53125,108340.5078125
2025-01-11 04:00:00,126861.265625,174641.09375,158145.390625,109858.6328125
2025-01-11 05:00:00,128458.90625,176629.65625,159993.21875,111329.9765625
2025-01-11 06:00:00,129369.3828125,177950.96875,161167.3125,112103.6796875
2025-01-11 07:00:00,128868.125,177853.375,160923.515625,111472.46875
2025-01-11 08:00:00,127497.3046875,176850.25,159783.421875,109994.03125
2025-01-11 09:00:00,125751.0,175419.03125,158229.46875,108170.078125
2025-01-11 10:00:00,123419.34375,173337.703125,156043.5,105795.5625
2025-01-11 11:00:00,120748.2265625,170830.078125,153453.734375,103127.71875
2025-01-11 12:00:00,118296.28125,168472.546875,151036.125,100711.421875
2025-01-11 13:00:00,116008.921875,166202.265625,148728.390625,98495.375
2025-01-11 14:00:00,113340.953125,163488.1875,145996.359375,95929.5859375
2025-01-11 15:00:00,110701.625,160757.59375,143272.9375,93427.75
2025-01-11 16:00:00,108701.453125,158572.8125,141114.375,91592.0390625
2025-01-11 17:00:00,107614.09375,157255.328125,139838.203125,90683.2421875
2025-01-11 18:00:00,107436.4453125,156826.75,139459.546875,90684.4921875
2025-01-11 19:00:00,107782.2890625,156919.015625,139605.0,91200.34375
2025-01-11 20:00:00,108703.0546875,157596.875,140335.515625,92275.4375
2025-01-11 21:00:00,110469.0546875,159149.171875,141934.65625,94170.53125
2025-01-11 22:00:00,112825.515625,161346.484375,144165.796875,96617.484375
2025-01-11 23:00:00,115363.59375,163777.28125,146617.5,99212.0703125
2025-01-12 00:00:00,118143.390625,166501.28125,149346.3125,102005.6171875
2025-01-12 01:00:00,120890.21875,169273.171875,152105.6875,104730.8671875
2025-01-12 02:00:00,123551.4140625,172022.359375,154825.375,107327.46875
2025-01-12 03:00:00,126108.2109375,174729.9375,157486.6875,109791.1640625
2025-01-12 04:00:00,128458.6171875,177285.25,159980.015625,112019.828125
2025-01-12 05:00:00,130755.9609375,179839.15625,162457.109375,114169.8125
2025-01-12 06:00:00,132361.328125,181747.125,164274.734375,115606.7421875
2025-01-12 07:00:00,132569.6875,182273.609375,164705.125,115642.1640625
2025-01-12 08:00:00,131814.640625,181826.734375,164164.578125,114726.7734375
2025-01-12 09:00:00,129683.8203125,179964.53125,162219.0,112462.390625
2025-01-12 10:00:00,125706.578125,176174.40625,158367.84375,108400.109375
2025-01-12 11:00:00,120272.140625,170804.28125,152971.421875,102950.4765625
2025-01-12 12:00:00,114135.0859375,164582.140625,146765.296875,96878.8359375
2025-01-12 13:00:00,107349.4453125,157549.5,139795.375,90243.875
2025-01-12 14:00:00,99735.9375,149533.671875,131894.890625,82878.2421875
2025-01-12 15:00:00,94312.375,143555.125,126064.4140625,77781.4140625
2025-01-12 16:00:00,90264.8515625,138810.4375,121517.8359375,74106.625
2025-01-12 17:00:00,87358.1484375,135128.734375,118060.015625,71599.921875
2025-01-12 18:00:00,85522.28125,132470.53125,115642.8984375,70173.5546875
2025-01-12 19:00:00,84165.828125,130265.9375,113691.078125,69225.3515625
2025-01-12 20:00:00,83399.09375,128638.0859375,112323.7890625,68858.515625
2025-01-12 21:00:00,83502.7890625,127893.0546875,111838.2421875,69341.875
2025-01-12 22:00:00,84192.5859375,127762.359375,111964.796875,70380.984375
2025-01-12 23:00:00,85435.5546875,128227.2265625,112678.6484375,71938.1875
2025-01-13 00:00:00,87133.984375,129200.3203125,113887.9375,73905.75
2025-01-13 01:00:00,88932.4140625,130344.03125,115252.046875,75932.484375
2025-01-13 02:00:00,90907.953125,131733.40625,116844.8984375,78092.5234375
2025-01-13 03:00:00,93012.0859375,133323.953125,118620.3203125,80337.1015625
2025-01-13 04:00:00,95164.6640625,135037.546875,120499.140625,82585.25
2025-01-13 05:00:00,97357.34375,136866.515625,122473.015625,84832.390625
2025-01-13 06:00:00,99127.1015625,138344.375,124076.0,86616.1015625
2025-01-13 07:00:00,99982.2578125,138960.328125,124802.25,87462.3046875
2025-01-13 08:00:00,100223.8671875,139029.296875,124971.703125,87682.859375
2025-01-13 09:00:00,99269.03125,137890.0625,123927.8828125,86702.921875
2025-01-13 10:00:00,96800.359375,135214.15625,121352.7890625,84226.9453125
2025-01-13 11:00:00,93140.078125,131290.203125,117544.5546875,80595.5390625
2025-01-13 12:00:00,88820.71875,126628.8984375,113020.1875,76352.1953125
2025-01-13 13:00:00,83636.96875,121007.75,107562.53125,71298.9609375
2025-01-13 14:00:00,77433.6328125,114217.34375,100968.140625,65264.45703125
2025-01-13 15:00:00,73523.5234375,109624.265625,96605.9453125,61598.1015625
2025-01-13 16:00:00,70824.7265625,106187.1796875,93415.6953125,59167.8046875
2025-01-13 17:00:00,69018.609375,103615.046875,91099.7109375,57642.625
2025-01-13 18:00:00,68131.2265625,101957.265625,89701.296875,57035.0703125
2025-01-13 19:00:00,67732.0625,100800.96875,88802.40625,56905.22265625
2025-01-13 20:00:00,67951.8046875,100289.1328125,88542.40625,57377.48828125
2025-01-13 21:00:00,69116.3984375,100770.0546875,89263.0234375,58769.62890625
2025-01-13 22:00:00,70801.421875,101838.046875,90552.984375,60644.203125
2025-01-13 23:00:00,72877.1640625,103371.453125,92288.0390625,62865.2265625
2025-01-14 00:00:00,75415.046875,105453.46875,94547.59375,65503.953125
2025-01-14 01:00:00,78100.7734375,107771.484375,97016.4375,68238.984375
2025-01-14 02:00:00,80871.15625,110276.3515625,99644.8828125,71018.2578125
2025-01-14 03:00:00,83800.0859375,113035.5234375,102499.453125,73910.8203125
2025-01-14 04:00:00,86853.6640625,116016.7265625,105546.875,76883.375
2025-01-14 05:00:00,90010.609375,119199.2734375,108765.8125,79915.875
2025-01-14 06:00:00,92900.0078125,122210.2890625,111783.5625,82639.78125
2025-01-14 07:00:00,94902.09375,124413.140625,113967.859375,84445.8671875
2025-01-14 08:00:00,96282.125,126037.6484375,115553.84375,85612.625
2025-01-14 09:00:00,96383.34375,126429.6640625,115894.171875,85495.1171875
2025-01-14 10:00:00,94863.1328125,125195.0234375,114605.578125,83773.796875
2025-01-14 11:00:00,92098.8671875,122673.7578125,112038.71875,80845.6328125
2025-01-14 12:00:00,88611.703125,119359.875,108695.4921875,77244.9140625
2025-01-14 13:00:00,84465.6640625,115303.90625,104630.125,73041.1875
2025-01-14 14:00:00,79101.0703125,109921.8203125,99267.1484375,67684.828125
2025-01-14 15:00:00,72888.8984375,103526.0546875,92955.359375,61538.609375
2025-01-14 16:00:00,69693.8671875,100082.6015625,89616.0625,58474.55859375
2025-01-14 17:00:00,67917.3046875,97982.96875,87630.6015625,56867.63671875
2025-01-14 18:00:00,66996.84375,96718.453125,86484.9765625,56126.07421875
2025-01-14 19:00:00,66562.2421875,95935.5546875,85821.2265625,55870.5390625
2025-01-14 20:00:00,66698.1640625,95731.09375,85732.8671875,56178.80078125
2025-01-14 21:00:00,67683.3828125,96403.0859375,86512.5078125,57319.14453125
2025-01-14 22:00:00,69327.6953125,97780.234375,87983.40625,59091.61328125
2025-01-14 23:00:00,71563.4296875,99808.2265625,90087.5234375,61421.71875
2025-01-15 00:00:00,74302.5390625,102413.765625,92747.1484375,64223.546875
2025-01-15 01:00:00,77284.25,105343.40625,95706.46875,67214.9609375
2025-01-15 02:00:00,80593.1328125,108687.671875,99054.0390625,70487.3359375
2025-01-15 03:00:00,84085.5078125,112305.234375,102646.7421875,73891.453125
2025-01-15 04:00:00,87650.8671875,116094.75,106382.5703125,77328.8046875
2025-01-15 05:00:00,91382.6015625,120145.234375,110349.953125,80888.125
2025-01-15 06:00:00,94751.2734375,123925.859375,114018.046875,84042.078125
2025-01-15 07:00:00,97147.265625,126807.5625,116762.9375,86193.1796875
2025-01-15 08:00:00,98867.28125,129097.25,118861.171875,87674.7890625
2025-01-15 09:00:00,99159.96875,129959.65625,119550.09375,87706.1328125
2025-01-15 10:00:00,97650.9296875,129001.84375,118420.8125,85958.578125
2025-01-15 11:00:00,94782.34375,126621.4375,115883.6796875,82893.40625
2025-01-15 12:00:00,91027.5625,123263.8359375,112392.4375,78999.0859375
2025-01-15 13:00:00,86434.375,118954.578125,107979.3515625,74332.328125
2025-01-15 14:00:00,80415.0859375,113087.890625,102044.421875,68315.140625
2025-01-15 15:00:00,73246.8125,105906.484375,94873.78125,61263.0546875
2025-01-15 16:00:00,69483.5234375,101970.7109375,90973.7578125,57678.3671875
2025-01-15 17:00:00,67418.765625,99662.0546875,88719.984375,55821.58203125
2025-01-15 18:00:00,66369.46875,98329.2734375,87454.171875,54992.03125
2025-01-15 19:00:00,65868.9296875,97526.671875,86724.21875,54711.65234375
2025-01-15 20:00:00,66155.2265625,97507.3359375,86779.546875,55209.9375
2025-01-15 21:00:00,67471.0859375,98539.4609375,87881.2734375,56715.94921875
2025-01-15 22:00:00,69576.1328125,100405.7578125,89805.5234375,58977.51171875
2025-01-15 23:00:00,72256.0234375,102908.6875,92349.8359375,61772.4921875
2025-01-16 00:00:00,75271.7265625,105820.6953125,95283.1796875,64857.203125
2025-01-16 01:00:00,78625.3046875,109150.7421875,98612.234375,68231.7265625
2025-01-16 02:00:00,82332.171875,112923.0703125,102358.421875,71908.578125
2025-01-16 03:00:00,86237.390625,116988.015625,106370.203125,75731.875
2025-01-16 04:00:00,90284.2578125,121291.796875,110592.546875,79638.8671875
2025-01-16 05:00:00,94237.6640625,125598.8515625,114789.6015625,83407.0859375
2025-01-16 06:00:00,97765.9765625,129570.53125,118624.28125,86706.96875
2025-01-16 07:00:00,100460.328125,132781.90625,121675.7578125,89140.109375
