,W11_3,W11_2,W11_1,W11_4
2025-01-01 00:00:00,34373.51171875,34685.32421875,34606.015625,34194.25390625
2025-01-01 01:00:00,68345.5,69698.8828125,69326.828125,67595.6875
2025-01-01 02:00:00,100413.0234375,103488.1953125,102627.5234375,98735.9765625
2025-01-01 03:00:00,130646.71875,136079.71875,134545.203125,127722.8359375
2025-01-01 04:00:00,159057.640625,167439.828125,165053.671875,154599.203125
2025-01-01 05:00:00,185262.09375,197150.734375,193743.703125,179011.328125
2025-01-01 06:00:00,208373.5625,224298.0625,219706.15625,200097.5
2025-01-01 07:00:00,227116.25,247567.734375,241634.6875,212593.859375
2025-01-01 08:00:00,241654.78125,267032.9375,259625.5625,212593.859375
2025-01-01 09:00:00,246756.859375,283797.6875,274816.0625,212593.859375
2025-01-01 10:00:00,246756.859375,298610.1875,287986.625,212593.859375
2025-01-01 11:00:00,246756.859375,312025.71875,299720.125,212593.859375
2025-01-01 12:00:00,246756.859375,325117.875,311116.4375,212593.859375
2025-01-01 13:00:00,246756.859375,336472.875,311116.4375,212593.859375
2025-01-01 14:00:00,246756.859375,344172.46875,311116.4375,212593.859375
2025-01-01 15:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 16:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 17:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 18:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 19:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 20:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 21:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 22:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-01 23:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-02 00:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-02 01:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-02 02:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-02 03:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-02 04:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-02 05:00:00,246756.859375,346123.5625,311116.4375,212593.859375
2025-01-02 06:00:00,245396.828125,345640.9375,310356.5,210885.359375
2025-01-02 07:00:00,241264.28125,342688.75,306936.4375,206435.53125
2025-01-02 08:00:00,235476.765625,337894.03125,301728.40625,200428.375
2025-01-02 09:00:00,228261.59375,331441.0625,294930.96875,193108.984375
2025-01-02 10:00:00,219157.390625,322823.84375,286053.0625,184033.75
2025-01-02 11:00:00,208967.921875,312809.65625,275874.25,174020.296875
2025-01-02 12:00:00,199478.53125,303186.5,266184.0625,164833.59375
2025-01-02 13:00:00,190035.265625,293324.40625,256349.09375,155825.390625
2025-01-02 14:00:00,179205.671875,281813.25,244951.984375,145563.828125
2025-01-02 15:00:00,169434.390625,271016.5625,234370.484375,136472.90625
2025-01-02 16:00:00,160818.53125,261137.96875,224787.21875,128647.203125
2025-01-02 17:00:00,153572.953125,252428.84375,216444.5625,122256.203125
2025-01-02 18:00:00,147587.515625,244815.296875,209258.140625,117169.796875
2025-01-02 19:00:00,142302.703125,237758.765625,202683.203125,112817.15625
2025-01-02 20:00:00,137469.46875,231030.96875,196485.6875,108938.0
2025-01-02 21:00:00,133629.125,225208.984375,191232.65625,106055.59375
2025-01-02 22:00:00,130697.1015625,220261.53125,186884.84375,104067.546875
2025-01-02 23:00:00,128328.7890625,215816.1875,183062.359375,102626.828125
2025-01-03 00:00:00,126429.5234375,211815.671875,179704.46875,101629.34375
2025-01-03 01:00:00,124612.0,207883.953125,176431.578125,100684.46875
2025-01-03 02:00:00,123083.8984375,204238.328125,173457.734375,99997.0859375
2025-01-03 03:00:00,122021.7265625,201067.953125,170968.0,99739.3359375
2025-01-03 04:00:00,121492.6953125,198457.0625,169041.1875,99970.578125
2025-01-03 05:00:00,121379.765625,196302.84375,167569.765625,100571.65625
2025-01-03 06:00:00,120888.0,193804.9375,165754.84375,100749.59375
2025-01-03 07:00:00,118927.8359375,189839.671875,162482.5625,99432.8203125
2025-01-03 08:00:00,115685.46875,184562.46875,157916.640625,96826.296875
2025-01-03 09:00:00,111694.2890625,178496.75,152582.578125,93472.890625
2025-01-03 10:00:00,107609.875,172310.15625,147142.59375,90028.5546875
2025-01-03 11:00:00,103583.21875,166167.59375,141756.71875,86639.3671875
2025-01-03 12:00:00,99911.3984375,160391.984375,136739.15625,83599.5390625
2025-01-03 13:00:00,95784.9921875,154149.90625,131263.625,80096.375
2025-01-03 14:00:00,90411.078125,146597.390625,124503.203125,75364.4609375
2025-01-03 15:00:00,85902.984375,139895.140625,118601.15625,71517.609375
2025-01-03 16:00:00,82858.921875,134627.71875,114149.0546875,69127.0234375
2025-01-03 17:00:00,81885.7578125,131496.0625,111816.578125,68772.6171875
2025-01-03 18:00:00,82140.546875,129689.7265625,110784.9296875,69587.5
2025-01-03 19:00:00,82570.15625,128151.390625,109997.6171875,70529.7578125
2025-01-03 20:00:00,83560.0546875,127277.453125,109847.578125,71975.6875
2025-01-03 21:00:00,85466.0859375,127449.8671875,110707.46875,74273.171875
